Observer: CW,,,,,,,,,,,,,,,,,,,
Date,Block,Plot,Veg Cover,Litter,Bare,Animal gopher,Animal trample,Rock,Woody,Water,Darlingtonia,% Grazed,Height 1 (cm),Height 2,Height 3,Height 4,# Cowpies,Moss,Notes
9/18/23,1,A early,80,5,2,15,0,0,0,0,0,0,62,21,14,12,4,0,"gopher hole for animal, old cowpies"
9/18/23,1,B full,95,10,2,10,0,0,0,0,0,0,12,0,30,20,3,0,"gopher hole for animal, old cowpies"
9/18/23,1,C control,90,2,3,10,0,0,0,0,0,0,14,33,31,20,2,0,"gopher hole for animal, old cowpies"
9/18/23,1,D late,95,2,1,0,2,0,0,0,0,0,12,25,27,16,1,1,
9/18/23,2,B control,90,10,2,0,0,1,1,10,60,0,9,18,16,27,0,1,
9/18/23,2,D early,90,10,2,0,0,2,0,10,45,0,13,18,15,23,0,1,
9/18/23,2,C full,95,5,0,0,0,1,0,5,50,0,21,22,15,12,0,1,
9/18/23,2,A late,95,5,1,0,0,2,0,5,40,0,14,11,13,19,0,1,
9/18/23,3,A control,70,7,5,0,0,5,0,10,15,0,0,3,1,14,0,3,
9/18/23,3,B early,70,5,10,0,0,1,2,10,20,0,3,15,1,0,0,10,
9/18/23,3,D full,80,5,5,0,0,5,3,15,15,0,13,0,4,12,0,0,
9/18/23,3,C late,70,3,15,0,0,5,2,5,20,0,9,6,2,11,0,0,
9/18/23,4,D early,100,20,0,0,5,0,0,0,0,30,6,13,15,16,10,,"""cowpies mostly old"""
9/18/23,4,C control,95,30,5,0,5,2,0,0,0,20,15,22,38,14,5,,"""old cowpies, also deep hoof prints"""
9/18/23,4,A late,95,20,2,0,2,1,1,0,0,10,17,17,16,13,3,,
9/18/23,4,B full,95,15,0,0,5,1,0,0,0,5,28,23,29,28,6,,
9/18/23,5,D full,90,10,1,0,0,2,1,5,30,0,14,15,15,18,0,3,
9/18/23,5,C early,90,20,0,0,0,0,5,3,50,0,18,15,20,20,0,0,
9/18/23,5,A control,85,20,5,0,2,0,10,2,35,30,6,8,10,3,0,0,
9/18/23,5,B late,95,10,0,0,0,1,1,0,15,3,0,18,6,13,0,0,
8/7/24,1,A early,95,0,5,2,0,0,0,0,0,0,27,25,10,17,0,,gopher hole for animal
8/7/24,1,B full,90,0,10,0,0,0,0,0,0,0,23,10,16,30,0,,
8/7/24,1,C control,98,0,2,0,0,0,0,0,0,0,19,18,25,18,0,,
8/7/24,1,D late,95,0,3,2,0,0,0,0,0,0,24,30,37,22,0,,gopher hole for animal.
8/7/24,2,A late,100,15,0,0,0,1,0,0,25,0,27,14,7,14,0,,
8/7/24,2,B control,95,15,0,0,0,0,0,5,40,0,29,10,22,18,0,,
8/7/24,2,C full,90,15,5,0,0,0,0,0,50,0,22,14,18,13,0,,
8/7/24,2,D early,90,20,5,0,0,2,0,5,35,0,19,13,15,12,0,,
8/7/24,3,A control,70,5,15,0,0,5,0,15,10,0,5,18,13,9,0,,
8/7/24,3,B early,80,30,5,0,0,2,0,15,10,0,10,2,3,6,0,,
8/7/24,3,C late,80,10,10,0,0,3,0,10,20,0,15,11,4,7,0,,
8/7/24,3,D full,75,20,15,0,0,5,0,5,15,0,12,11,12,15,0,,
8/7/24,4,A late,98,10,2,0,0,0,0,0,0,5,20,10,35,25,0,,
8/7/24,4,B full,95,10,2,0,0,0,0,1,0,0,17,11,23,29,5,,Old cowpies 
8/7/24,4,C control,95,30,5,0,0,0,0,0,0,0,11,15,34,8,1,,Old cowpies 
8/7/24,4,D early,95,15,2,0,0,1,0,0,0,0,20,7,16,9,0,,
8/7/24,5,A control,80,10,5,0,0,0,5,5,40,40,3,13,8,19,0,,
8/7/24,5,B late,90,30,5,0,0,0,5,0,10,25,10,15,20,12,0,,
8/7/24,5,C early,90,40,2,0,0,0,5,10,45,0,18,12,15,28,0,,
8/7/24,5,D full,85,20,2,0,2,5,2,10,25,0,12,25,10,12,0,,
8/7/24,6,A control,95,10,5,0,0,0,0,0,0,0,20,17,44,30,0,,
8/7/24,6,B early,90,10,0,0,0,0,10,0,2,0,25,32,17,27,0,,
8/7/24,6,C late,90,15,5,0,0,0,5,5,10,0,28,23,24,48,0,,
8/7/24,6,D full,95,10,5,0,0,0,0,0,2,0,24,41,32,26,0,,
8/7/24,7,A late,100,10,0,0,0,0,0,0,0,5,19,66,42,29,0,,
8/7/24,7,B full,95,10,5,0,0,0,0,0,0,2,33,25,27,30,0,,
8/7/24,7,C control,85,5,5,0,0,0,20,0,0,5,34,42,14,30,1,,
8/7/24,7,D early,90,5,5,0,0,0,15,0,0,5,24,17,39,30,0,,
8/7/24,9,A control,90,5,5,0,0,0,0,0,0,15,13,8,9,22,1,,
8/7/24,9,B late,90,5,10,0,0,2,0,0,0,40,12,15,35,17,0,,
8/7/24,9,C early,95,5,0,0,0,0,0,0,0,0,19,35,18,38,0,,
8/7/24,9,D full,95,5,2,0,0,2,0,0,0,0,29,6,27,10,0,,
8/7/24,8,A early,85,5,5,0,0,0,5,10,10,0,10,14,9,10,0,,
8/7/24,8,B full,80,5,10,0,0,10,0,3,10,0,9,3,9,13,0,,
8/7/24,8,C control,80,5,15,0,0,5,0,0,2,60,10,8,2,3,0,,
8/7/24,8,D late,90,5,5,0,0,10,0,5,10,15,10,8,5,21,0,,
9/19/24,1,A early,90,10,10,10,0,0,0,0,0,75,16,14,14,14,0,,
9/19/24,1,B full,90,10,10,10,0,0,0,0,0,0,33,17,12,24,0,,
9/19/24,1,C control,95,10,5,5,0,0,0,0,0,50,20,19,9,20,3,,
9/19/24,1,D late,95,15,5,5,0,0,0,0,0,0,21,22,30,17,0,,
9/19/24,2,A late,95,5,0,0,0,5,0,0,50,0,27,16,10,16,0,,
9/19/24,2,B control,90,10,0,0,0,5,5,0,50,0,25,20,15,12,0,,
9/19/24,2,C full,95,10,0,0,0,0,0,0,50,0,25,20,15,12,0,,
9/19/24,2,D early,90,10,0,0,0,5,0,5,50,0,11,20,14,23,0,,
9/19/24,3,A control,80,10,5,0,0,5,5,15,25,1,9,4,4,5,0,,
9/19/24,3,B early,60,20,5,0,0,0,0,15,40,0,5,22,10,10,0,,
9/19/24,3,C late,75,5,5,0,0,10,5,10,20,0,10,10,12,18,0,,
9/19/24,3,D full,80,15,5,0,0,10,5,5,30,0,12,0,28,3,0,,
9/19/24,4,A late,98,10,2,0,0,1,0,0,0,10,20,17,23,9,0,,
9/19/24,4,B full,95,5,5,0,0,2,0,0,0,0,10,21,14,16,0,,
9/19/24,4,C control,95,15,5,0,0,1,0,0,0,5,30,10,8,11,0,,
9/19/24,4,D early,90,20,5,0,0,0,0,0,0,5,20,16,24,17,0,,
9/19/24,5,A control,90,15,2,0,0,0,10,0,60,40,9,5,8,16,0,,
9/19/24,5,B late,95,10,3,0,0,0,2,0,30,10,23,12,12,24,0,,
9/19/24,5,C early,90,20,5,0,0,0,10,5,50,10,19,21,16,3,0,,
9/19/24,5,D full,90,20,0,0,0,5,3,5,50,0,10,17,16,13,0,,
9/19/24,6,A control,100,5,0,0,0,0,0,0,3,1,11,16,36,9,0,,
9/19/24,6,B early,90,5,0,0,0,0,10,0,3,5,12,21,7,14,0,,
9/19/24,6,C late,95,10,5,0,0,0,0,3,10,0,13,18,12,21,0,,
9/19/24,6,D full,95,10,0,0,0,0,0,0,3,0,16,10,15,14,0,,
9/19/24,7,A late,95,10,5,0,0,0,0,0,0,5,18,43,16,32,0,,
9/19/24,7,B full,95,5,5,0,0,0,0,0,0,40,14,15,2,16,1,,
9/19/24,7,C control,85,5,5,0,0,0,20,0,0,40,14,15,2,16,1,,
9/19/24,7,D early,90,5,3,0,0,0,5,0,0,15,6,21,19,17,0,,
9/19/24,9,A control,95,10,2,1,0,0,0,0,0,30,7,2,18,20,0,,
9/19/24,9,B late,95,5,0,0,0,3,2,0,0,20,12,9,20,5,0,,
9/19/24,9,C early,98,5,2,1,0,0,0,0,0,30,4,32,35,12,0,,
9/19/24,9,D full,95,5,0,0,0,5,0,0,0,0,32,19,8,8,0,,
9/19/24,8,A early,80,5,0,0,0,10,10,5,5,50,5,14,0,13,0,,
9/19/24,8,B full,90,10,0,0,0,10,5,5,10,0,11,0,13,17,0,,
9/19/24,8,C control,85,5,10,0,0,10,0,0,2,50,8,2,5,20,1,,
9/19/24,8,D late,85,10,5,0,0,10,0,2,5,10,11,5,20,14,0,,
8/5/25,2,A late,95,40,5,0,0,5,0,0,25,0,12,28,43,29,0,,
8/5/25,2,B control,95,30,0,0,0,0,0,5,40,0,32,29,22,20,0,,
8/5/25,2,C full,100,30,5,0,0,0,0,0,35,0,30,22,17,15,0,,
8/5/25,2,D early,95,40,0,0,0,5,0,3,30,0,25,19,22,27,0,,
8/5/25,1,A early,90,10,10,10,0,0,0,0,0,0,30,35,45,28,0,,gopher
8/5/25,1,B full,90,5,10,5,0,0,0,0,0,0,17,13,35,20,0,,gopher
8/5/25,1,C control,90,10,0,0,0,0,0,0,0,0,25,27,33,25,0,,
8/5/25,1,D late,100,10,2,0,0,0,0,0,0,0,45,36,28,40,0,,
8/5/25,3,A control,80,0,0,0,0,10,2,15,20,0,20,14,1,12,0,,
8/5/25,3,B early,90,0,0,0,0,2,0,8,20,0,7,13,3,8,0,,signs of hoof punch
8/5/25,3,C late,80,0,0,0,0,5,5,10,30,0,15,10,6,14,0,,
8/5/25,3,D full,80,0,0,0,0,5,5,10,15,0,24,11,0,12,0,,
8/5/25,4,A late,95,20,0,0,0,1,0,3,0,10,20,18,33,21,0,,
8/5/25,4,B full,95,15,0,0,0,1,1,1,0,0,25,22,27,27,0,,
8/5/25,4,C control,95,30,2,0,0,0,0,5,0,15,26,26,20,12,0,,potential hoof punch
8/5/25,4,D early,95,30,2,0,0,5,0,0,0,0,10,17,12,18,0,,
8/5/25,5,A control,85,20,0,0,0,0,10,10,60,40,8,18,26,9,0,,
8/5/25,5,B late,95,30,2,0,0,1,5,0,30,50,24,3,8,17,0,,
8/5/25,5,C early,95,30,0,0,0,0,5,2,60,0,25,19,15,33,0,,
8/5/25,5,D full,90,40,0,0,0,5,2,5,50,0,16,23,16,16,0,,
8/5/25,6,A control,75,70,5,0,5,0,0,0,1,0,22,20,27,16,0,,trampling
8/5/25,6,B early,90,50,0,0,0,0,10,0,5,0,19,42,28,26,0,,
8/5/25,6,C late,95,50,0,0,0,0,5,5,12,0,17,28,20,15,0,,
8/5/25,6,D full,100,50,2,0,0,0,3,0,5,0,20,20,14,19,0,,
8/5/25,9,A control,90,10,5,0,1,0,0,0,0,50,5,0,20,16,0,,trampling
8/5/25,9,B late,90,10,5,0,0,0,5,0,0,10,10,8,12,21,0,,block 9 was set up incorrectly (already on late when arrived) and polyline was not connected to the charger
8/5/25,9,C early,95,10,0,0,0,0,0,0,0,50,12,6,15,7,0,,
8/5/25,9,D full,95,30,5,0,0,2,0,0,0,5,15,18,5,6,1,,heavy grazing and poop nearby plot 9
8/5/25,8,A early,95,20,0,0,0,2,5,8,10,0,16,18,8,8,0,,
8/5/25,8,B full,90,15,0,0,0,10,5,10,10,0,15,26,12,5,0,,
8/5/25,8,C control,80,10,5,0,0,5,0,0,5,80,14,22,2,11,0,,
8/5/25,8,D late,80,10,10,0,0,10,0,10,8,10,3,23,10,13,0,,
8/5/25,7,A late,90,5,0,0,0,0,0,0,0,70,10,14,9,5,1,,
8/5/25,7,B full,100,0,0,0,0,0,0,0,0,0,52,36,24,43,0,,trampling
8/5/25,7,C control,90,0,5,0,0,15,0,0,0,60,10,16,5,7,0,,
8/5/25,7,D early,95,2,0,0,0,10,0,0,0,0,35,37,26,65,0,,
9/14/25,1,A early,75,20,20,1,10,0,0,0,0,90,6,11,19,2,3,,recent rain the week before this data was collected
9/14/25,1,B full,90,20,10,1,0,0,0,0,0,0,17,15,39,75,0,,
9/14/25,1,C control,80,10,10,5,20,0,0,0,0,90,4,11,2,20,1,,
9/14/25,1,D late,100,10,5,5,5,0,0,0,0,0,19,59,37,38,0,,
9/14/25,2,A late,95,35,2,0,0,0,,0,25,2,45,20,26,12,0,,
9/14/25,2,B control,95,25,0,0,10,0,0,5,50,10,28,14,21,37,0,,
9/14/25,2,C full,95,40,2,0,0,0,0,2,60,0,33,22,27,18,0,,
9/14/25,2,D early,90,10,2,0,5,5,0,5,50,10,25,18,28,14,0,,
9/14/25,3,A control,75,5,2,0,0,10,0,20,25,0,0,10,19,0,0,,
9/14/25,3,B early,60,60,5,0,0,5,0,10,50,0,4,12,4,5,0,,
9/14/25,3,C late,75,10,5,0,0,5,5,10,25,0,11,13,6,17,0,,
9/14/25,3,D full,70,30,15,0,0,3,5,5,20,0,16,21,15,6,0,,
9/14/25,4,A late,95,50,2,0,3,1,0,0,0,5,7,23,27,12,0,,heavy grazing and trampling near block 4
9/14/25,4,B full,95,40,5,0,0,1,0,0,0,0,19,31,20,20,0,,
9/14/25,4,C control,90,70,5,0,10,0,0,0,0,50,12,16,18,6,0,,
9/14/25,4,D early,90,25,5,0,0,0,0,0,0,70,14,3,7,11,0,,
9/14/25,5,A control,85,10,5,0,5,0,5,3,50,50,3,18,0,6,1,,
9/14/25,5,B late,90,60,5,0,3,0,2,0,15,30,13,5,14,22,0,,
9/14/25,5,C early,85,80,0,0,1,0,5,5,50,40,4,6,7,14,0,,
9/14/25,5,D full,90,60,2,0,0,2,3,5,25,0,7,23,11,8,0,,
9/14/25,6,A control,80,60,5,0,10,0,0,0,1,10,29,32,25,18,0,,
9/14/25,6,B early,95,60,5,0,0,0,5,0,5,0,23,45,24,14,0,,
9/14/25,6,C late,90,50,2,0,5,0,5,2,10,0,32,27,15,10,0,,
9/14/25,6,D full,95,70,0,0,0,0,3,0,2,0,26,15,19,31,0,,
9/14/25,9,A control,90,30,5,0,2,0,0,0,0,80,14,2,7,6,1,,
9/14/25,9,B late,90,10,5,0,2,3,0,0,0,20,7,7,11,9,1,,Old cowpies 
9/14/25,9,C early,90,10,2,0,2,0,0,0,0,20,10,11,18,10,0,,
9/14/25,9,D full,95,40,0,0,5,2,0,0,0,0,11,15,8,20,1,,Old cowpies 
9/14/25,8,A early,90,5,1,0,10,5,5,5,8,80,5,3,18,17,0,,
9/14/25,8,B full,90,5,1,0,0,8,0,10,20,5,18,12,8,29,0,,
9/14/25,8,C control,80,5,5,0,5,10,2,0,2,85,8,0,5,9,1,,
9/14/25,8,D late,80,15,5,0,2,10,0,15,10,20,2,10,22,24,0,,
9/14/25,7,A late,90,10,2,0,10,0,0,0,0,80,10,6,9,8,1,,
9/14/25,7,B full,95,40,3,5,0,0,0,0,0,0,42,16,38,37,0,,
9/14/25,7,C control,90,20,5,0,5,0,20,0,0,90,11,5,7,18,1,,
9/14/25,7,D early,95,20,5,0,10,0,5,0,0,0,34,26,60,42,1,,
