Observer: CW,,,5mx5m cover:,,,,,,,,,,,,,,
Date,Block,Plot,Litter,Bare,Woody,Animal ,Rock,Water,Moss ,Forb,Gram,Height 1 (cm),Height 2,Height 3,Height 4,Darlingtonia,DC % browse
7/5/23,1,A,0,15,0,5,0,,,,,25,20,35,0,,
7/5/23,1,B,2,15,0,5,0,,2,,,5,10,5,10,,
7/5/23,1,C,0,10,0,10,0,,,,,12,2,5,10,,
7/5/23,1,D,0,7,0,5,0,,10,,,7,18,5,15,,
7/5/23,2,A,5,10,0,0,2,5,0,5,70,22,15,7,10,40,0
7/5/23,2,B,5,10,0,0,2,10,0,5,60,12,9,11,0,40,0
7/5/23,2,C,5,10,0,0,0,5,0,5,70,5,11,8,10,40,0
7/5/23,2,D,10,10,0,0,5,10,5,5,70,18,15,15,16,25,1
7/5/23,3,A,5,10,2,5,10,10,3,0,80,5,5,2,8,10,30
7/5/23,3,B,20,5,5,10,5,5,10,0,70,0,6,3,2,30,50
7/5/23,3,C,5,15,8,0,10,5,3,5,60,0,7,2,3,20,5
7/5/23,3,D,5,40,,5,8,2,0,1,50,0,5,5,8,15,30
7/5/23,4,A,10,10,1,10,1,1,1,25,80,10,10,12,15,0,NA
7/5/23,4,B,10,10,0,15,5,0,0,5,80,10,7,8,11,0,NA
7/5/23,4,C,30,10,0,20,0,0,0,20,70,10,11,15,12,0,NA
7/5/23,4,D,20,10,0,20,0,0,0,20,70,10,11,15,12,0,NA
7/5/23,5,A (control),10,5,10,0,0,5,5,1,75,7,0,5,7,25,40
7/5/23,5,B,5,5,2,0,1,10,1,1,80,5,2,5,10,10,
7/5/23,5,C,30,2,10,0,0,10,1,1,50,0,5,10,15,50,15
7/5/23,5,D,10,5,5,0,5,10,1,1,50,2,14,4,2,30,20