date,observer,species,rf.1.a,rf.2.p,rf.3.a,rf.4.p,rf.5.a,rf.6.a,rf.7.a,rf.8.a,rf.9.p,cm.10.a,cm.11.a,cm.12.p,cm.13.a,cm.14.a,cm.15.p,cm.16.p,cm.17.a,cm.18.p,cm.19.a,control,habitat type
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,n