date,meadow,transect,plot,"
litter ","
bare soil ","
animal disturbance","
rocks","
water","
woody debris","
canopy cover","
soil pH","
moss","
herbaceous ",plot notes 
21-Jul,RF,1,"
rf1a",2,5,3,5,0,1,30,5.74,1,95,
21-Jul,RF,1,rf2p,60,2,1,20,0,3,75,6.88,0,60,
21-Jul,RF,1,rf3a,5,1,2,2,5,1,30,5.6,20,90,small stream running through center of plot
21-Jul,RF,3,"
rf4p",15,15,2,3,0,15,51,6.08,0,60,dry creekbed bordering plot
21-Jul,RF,3,"
rf5a",10,15,1,5,0,1,39,5.72,5,80,
21-Jul,RF,3,rf6a,1,0,5,1,5,2,53,5.72,50,70,"visible water, clearly inundated site"
22-Jul,RF,2,"
rf7a",2,8,5,0,0,1,57,5.4,0.5,85,"dry meadow, near forested area - on potential well site"
22-Jul,RF,2,rf8a,1,15,10,0,0,2,64,5.36,0,85,significant cattle disturbance
22-Jul,RF,2,rf9p,3,30,1,20,1,4,80,5.94,1,15,"dry creekbed in plot, near creek"
22-Jul,CM,8,cm10a,5,1,5,0,0,0,62,5.64,0,95,"somewhat dry meadow, grass dominated"
22-Jul,CM,8,cm11a,10,2,2,0,0,5,18,6.04,5,95,wet site
22-Jul,CM,8,cm12p,95,0,0,15,0,10,63,6.88,0,5,right on meadow edge
22-Jul,CM,8,cm13a,20,2,5,0,0,2,57,5.88,0,90,"Medow understory, fairly wooded "
22-Jul,CM,9,cm14a,1,2,3,1,0,3,38,5.88,0,95,
22-Jul,CM,9,cm15p,3,30,5,15,0,0,59,6.66,0,35,
22-Jul,CM,9,cm16p,4,40,2,3,0,2,48,6.56,0,60,
22-Jul,CM,7,cm17a,0,1,5,0,0,0,14,5.9,0,95,
22-Jul,CM,7,cm18p,3,5,3,3,0,1,43,6.933333333,0,85,
22-Jul,CM,7,cm19a,3,1,1,5,15,2,55,5.68,0,85,